secid,date,ticker,low,high,open,close
108105,2018-01-22,SPX,2808.12,2833.03,2809.16,2832.97
108105,2018-01-23,SPX,2830.59,2842.24,2835.05,2839.13
108105,2018-01-24,SPX,2824.81,2852.97,2845.47,2837.54
108105,2018-01-25,SPX,2830.94,2848.56,2846.24,2839.25
108105,2018-01-26,SPX,2846.18,2872.87,2847.48,2872.87
108105,2018-01-29,SPX,2851.48,2870.62,2867.23,2853.53
108105,2018-01-30,SPX,2818.27,2837.75,2830.75,2822.43
108105,2018-01-31,SPX,2813.04,2839.26,2832.41,2823.81
108105,2018-02-01,SPX,2812.7,2835.96,2816.45,2821.98
108105,2018-02-02,SPX,2759.97,2808.92,2808.92,2762.13
108105,2018-02-05,SPX,2638.17,2763.39,2741.06,2648.94
108105,2018-02-06,SPX,2593.07,2701.04,2614.78,2695.14
108105,2018-02-07,SPX,2681.33,2727.67,2690.2,2681.66
108105,2018-02-08,SPX,2580.56,2685.27,2685.01,2581
108105,2018-02-09,SPX,2532.69,2638.67,2601.78,2619.55
108105,2018-02-12,SPX,2622.45,2672.61,2636.75,2656
108105,2018-02-13,SPX,2637.08,2668.84,2646.27,2662.94
108105,2018-02-14,SPX,2648.87,2702.1,2651.21,2698.63
108105,2018-02-15,SPX,2689.82,2731.51,2713.46,2731.2
108105,2018-02-16,SPX,2725.11,2754.42,2727.14,2732.22
108105,2018-02-20,SPX,2706.76,2737.6,2722.99,2716.26
108105,2018-02-21,SPX,2701.29,2747.75,2720.53,2701.33
108105,2018-02-22,SPX,2697.77,2731.26,2710.42,2703.96
108105,2018-02-23,SPX,2713.74,2747.76,2715.8,2747.3
108105,2018-02-26,SPX,2753.78,2780.64,2757.37,2779.6
108105,2018-02-27,SPX,2744.22,2789.15,2780.45,2744.28
108105,2018-02-28,SPX,2713.54,2761.52,2753.78,2713.83
108105,2018-03-01,SPX,2659.65,2730.89,2715.22,2677.67
108105,2018-03-02,SPX,2647.32,2696.25,2658.89,2691.25
108105,2018-03-05,SPX,2675.75,2728.09,2681.06,2720.94
108105,2018-03-06,SPX,2711.26,2732.08,2730.18,2728.12
108105,2018-03-07,SPX,2701.74,2730.6,2710.18,2726.8
108105,2018-03-08,SPX,2722.65,2740.45,2732.75,2738.97
